peak_id,peak_name,peak_alternative_name,height_metres,lat,long
URKM,Urkinmang,Buddha,6143,28.1692,85.715
DORJ,Dorje Lhakpa,NA,6966,28.1739,85.7792
GYLZ,Gyalzen Peak,Gyaltsen Peak,6151,28.1839,85.8417
LEON,Leonpo Gang,"Dorje Pahad, Big White Peak",6979,28.1956,85.8019
BTAK,Bhairab Takura,Madiya,6799,28.1978,85.8097
LEOE,Leonpo Gang East,Gyalgen Peak,6733,28.2025,85.8178
GURK,Gurkarpo Ri,NA,6889,28.21,85.7728
LSIS,Langshisa Ri,Langsisa Ri,6412,28.2169,85.7164
GHEN,Ghenge Liru,"Ghenye Lirung, Langtang II",6596,28.2481,85.4739
PEMK,Pemthang Karpo Ri,"Dome Blanc, Kan Karmo",6865,28.2492,85.7506
YANS,Yansa Tsenji,"Dragpoche, Dhagpache",6567,28.2565,85.6051
LANG,Langtang Lirung,Langtang,7227,28.2575,85.5158
SHAL,Shalbachum,"Salbachum, Phrul Rangtshan Ri",6707,28.2711,85.6305
BHEM,Bhemdang Ri,Morimoto,6150,28.2733,85.6678
LANY,Langtang Yubra,Yubra Himal,6048,28.2773,85.5688
PALD,Paldor,Bharange,5903,28.2786,85.1839
KYR1,Kyungka Ri 1,Kyungya Ri 1,6599,28.2964,85.6706
KYR2,Kyungka Ri 2,Kyungya Ri 2,6506,28.3033,85.6647
DRAG,Dragmorpa Ri,"Thakmarpo Ri, Panaya Tippa",6185,28.3253,85.6642
GAN5,Ganesh V,NA,6770,28.3316,85.1585
GAN3,Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",7043,28.3353,85.1247
GAN4,Ganesh IV,Pabil,7104,28.3458,85.08
PERI,Peri,NA,6174,28.3531,85.7236
GAN6,Ganesh VI,NA,6908,28.3711,85.0639
BAUD,Baudha,NA,6672,28.3756,84.6789
GAN2,Ganesh II,NA,7118,28.3789,85.0592
LANR,Langtang Ri,NA,7205,28.3814,85.6836
GAN1,Ganesh I,Yangra Kangri,7422,28.3925,85.13
HIMW,Himalchuli West,NA,7540,28.4361,84.6165
HIME,Himalchuli East,Himalchuli Main,7893,28.4375,84.6364
HIMN,Himalchuli North,NA,7331,28.4492,84.6045
MARD,Mardi Himal,NA,5553,28.4731,83.9308
LAMJ,Lamjung Himal,NA,6983,28.4894,84.1892
MACH,Machhapuchhare,NA,6993,28.495,83.9492
PK29,Peak 29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",7871,28.5033,84.5675
HIUP,Hiunchuli,Patal Hiunchuli,6434,28.51,83.85
SIMN,Simnang Himal,"P2, Simnang Himal East",6251,28.5165,84.645
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",7219,28.518,83.806
THUL,Thulagi,Mansiri Himal,7059,28.5278,84.5228
ANN2,Annapurna II,NA,7937,28.5358,84.1214
ANN4,Annapurna IV,NA,7525,28.5375,84.0828
GAND,Gandharva Chuli,"Gandharbha, Gabelhorn Peak",6248,28.5383,83.9622
LNJU,Langju,Lajo Dada,6426,28.5458,85.0553
MANA,Manaslu,"Kutang I, Peak 30",8163,28.5494,84.5619
PHNH,Phungi Himal,NA,6538,28.5544,84.4858
